84,Cisco,Telecom Hardware Manufacturing,51.557,83.3,San Jose/ California
85,Nationwide Mutual Insurance Company,Financial,51.45,24.791,Columbus/ Ohio
86,Allstate,Insurance,51.412,54.25,Northfield Township/ Cook County/ Illinois
87,Delta Air Lines,Airline,50.582,95,Atlanta/ Georgia
88,Liberty Mutual,Insurance,49.956,50,Boston/ Massachusetts
89,TJX,Retail,49.936,329,Framingham/ Massachusetts
90,Progressive Corporation,Insurance,49.611,55.063,Mayfield Village/ Ohio
91,American Airlines,Airline,48.971,129.7,Fort Worth/ Texas
92,CHS,Agriculture cooperative,47.194,10.014,Inver Grove Heights/ Minnesota
93,Performance Food Group,Food Processing,47.194,34.825,Richmond/ Virginia
94,PBF Energy,Petroleum industry,46.83,3.616,Parsippany–Troy Hills/ New Jersey
95,Nike,Apparel,46.71,79.1,Beaverton/ Oregon
96,Best Buy,Retail,46.298,71.1,Richfield/ Minnesota
97,Bristol-Myers Squibb,Pharmaceutical industry,46.159,34.3,New York City/ New York
98,United Airlines,Airline,44.955,92.795,Chicago/ Illinois
99,Thermo Fisher Scientific,Laboratory instruments,44.915,130,Waltham/ Massachusetts
100,Qualcomm,Technology,44.2,51,San Diego/ California
